project_id,project_name,project_manager_id,budget,status,start_date,end_date,project_priority,client_name
501,Capgemini Generative AI_501,1160,43485059,Critical,2026-03-19,2027-07-12,Low,IBM
502,Capgemini Generative AI_502,1117,34926958,Completed,2025-08-24,2026-03-03,Low,TCS
503,Amazon Q_503,1185,15429953,Completed,2025-01-07,2026-07-13,High,BOSCH
504,MATLAB Copilot_504,1117,27758329,Completed,2026-03-12,2026-09-15,Medium,BOSCH
505,MATLAB Copilot_505,1171,18105364,Critical,2024-06-20,2025-02-21,Low,BOSCH
506,Granite Models_506,1024,6728705,On Track,2025-05-14,2026-10-28,High,WIPRO
507,MATLAB Copilot_507,1034,38337408,On Track,2024-11-16,2026-10-07,Low,IBM
508,MATLAB Copilot_508,1172,9202802,Completed,2025-02-23,2026-05-21,Low,ADNOC
509,Deloitte PairD_509,1185,4452487,Critical,2024-12-05,2026-11-09,Medium,MATHWORKS
510,Granite Models_510,1148,35051879,Delayed,2025-04-13,2025-12-17,Low,BOSCH
511,Infosys Topaz_511,1028,24495752,Critical,2026-03-20,2026-10-13,Medium,IBM
512,Infosys Topaz_512,1110,38645770,On Track,2025-12-22,2027-12-05,Low,ADNOC
513,Capgemini Generative AI_513,1008,13107517,Critical,2025-09-05,2026-10-16,Medium,MATHWORKS
514,watsonx.ai_514,1047,10613444,Completed,2025-07-31,2026-01-08,High,WIPRO
515,watsonx.ai_515,1024,36600090,Delayed,2024-09-11,2025-12-30,Medium,BOSCH
516,MATLAB Copilot_516,1041,25833842,Critical,2026-04-25,2027-06-21,Low,IBM
517,Granite Models_517,1014,11440790,Delayed,2025-01-12,2025-06-01,Low,TCS
518,Capgemini Generative AI_518,1114,45421953,Completed,2025-02-13,2026-09-23,Low,BOSCH
519,Deloitte PairD_519,1070,15466588,On Track,2026-02-19,2027-05-08,Medium,TCS
520,Capgemini Generative AI_520,1174,46532441,Completed,2025-10-11,2027-07-02,Low,MATHWORKS
521,watsonx.ai_521,1057,27525677,On Track,2024-08-22,2024-11-27,High,MATHWORKS
522,Infosys Topaz_522,1197,10209671,Critical,2026-01-10,2027-01-31,Medium,TCS
523,watsonx.ai_523,1128,29900768,Delayed,2025-04-22,2025-11-30,Medium,IBM
524,Infosys Topaz_524,1129,38495303,Critical,2026-04-03,2026-09-13,Medium,ADNOC
525,watsonx.ai_525,1112,2257723,Completed,2024-09-21,2025-03-09,Medium,IBM
526,Deloitte PairD_526,1147,28140360,Completed,2026-04-26,2027-05-17,High,BOSCH
527,watsonx.ai_527,1084,12534213,Completed,2025-11-16,2027-02-19,High,BOSCH
528,Granite Models_528,1063,30237756,Completed,2025-09-07,2027-05-26,High,BOSCH
529,Capgemini Generative AI_529,1191,23784350,Delayed,2026-01-16,2027-03-23,High,TCS
530,Amazon Q_530,1163,8652198,Delayed,2024-10-13,2026-01-03,Medium,WIPRO
531,TCS Cognix_531,1061,7899095,Delayed,2025-10-04,2026-09-21,High,INFOSYS
532,QuantumAI_532,1040,44990465,On Track,2025-10-31,2026-07-29,Low,BOSCH
533,SageMaker HyperPod_533,1194,38831647,Completed,2026-01-26,2027-11-25,Low,WIPRO
534,QuantumAI_534,1083,43091847,Critical,2024-10-16,2025-06-17,Medium,TCS
535,SageMaker HyperPod_535,1114,43371538,Critical,2025-09-21,2026-09-27,Low,TCS
536,MATLAB Copilot_536,1130,5978850,Critical,2025-08-30,2027-03-15,Medium,TCS
537,watsonx.ai_537,1095,20265413,On Track,2025-11-16,2026-05-17,Low,IBM
538,Amazon Q_538,1099,32052053,On Track,2026-02-06,2027-08-10,Low,WIPRO
539,Infosys Topaz_539,1083,41601254,Completed,2025-12-23,2027-08-18,High,TCS
540,SageMaker HyperPod_540,1027,24047718,On Track,2025-10-26,2027-06-24,Low,INFOSYS
541,watsonx.ai_541,1064,48487688,Completed,2025-04-10,2026-10-01,Low,IBM
542,QuantumAI_542,1041,25420778,Critical,2024-10-26,2025-11-09,Medium,BOSCH
543,MATLAB Copilot_543,1174,41123441,On Track,2026-05-19,2027-07-25,High,MATHWORKS
544,Granite Models_544,1143,46525267,Completed,2025-12-25,2027-01-09,Medium,WIPRO
545,QuantumAI_545,1039,23371547,On Track,2025-05-25,2027-04-11,Low,INFOSYS
546,MATLAB Copilot_546,1080,45027086,Completed,2026-02-24,2026-10-04,Low,WIPRO
547,Granite Models_547,1080,38508625,Completed,2026-02-13,2027-04-15,High,WIPRO
548,Amazon Q_548,1024,44353991,Completed,2025-04-10,2026-12-11,Medium,TCS
549,MATLAB Copilot_549,1080,13097239,Delayed,2025-11-16,2027-01-29,Medium,INFOSYS
550,Infosys Topaz_550,1036,11398194,On Track,2025-04-11,2026-05-08,High,IBM
